road_SPREAD,road_Rolling 3P,road_Rolling TOT,road_Rolling ST,road_Rolling TO,road_Rolling BL,road_Rolling PTS,road_Rolling FG%,road_Rolling FT%,home_Rolling 3P,home_Rolling TOT,home_Rolling ST,home_Rolling TO,home_Rolling BL,home_Rolling PTS,home_Rolling FG%,home_Rolling FT%,home team win
-3.5,7,23.4,9.4,13.6,10,107.6,0.474555771,0.735967366,6.2,22.2,9.6,17.4,4.4,99.8,0.438204627,0.661027702,0
8.5,6.8,19.8,7.2,12,4,88.4,0.415167182,0.7021662,8.8,23.2,8.2,13.8,5.2,107.8,0.487075388,0.660227122,1
-2,10.8,19.4,7.6,14.4,5,104,0.46376136,0.636561712,6.6,22.2,8.4,14.8,5.2,88,0.42468927,0.719830611,0
-2.5,9,24.2,7.6,13.6,3.8,102,0.481992608,0.661223354,7,22.2,8.2,12.2,2.8,98.8,0.429762215,0.731362229,0
4.5,6.6,21,8.6,14,3.6,89.4,0.416934799,0.783703704,7,21.6,8.8,14.4,4.4,95,0.466288533,0.755944056,1
-4.5,3.8,18.4,5.4,15.8,1.6,89.2,0.418481926,0.708192332,7,17,6.8,17.2,2.2,91.4,0.427884416,0.703095238,1
8.5,8,20,6.8,15,4,93.8,0.429539834,0.75823587,3.6,20.4,8.2,10.4,5.2,93.2,0.433995853,0.802067756,0
-2.5,6.4,20.6,9.4,13.4,3.4,100.8,0.394847964,0.831001685,7,19.6,8.2,12.8,3.4,97.8,0.438689594,0.840519075,0
6.5,13.6,24.6,7.8,16.2,5.6,110.4,0.528536324,0.74250481,9.6,25.6,10,16,4.4,107.4,0.518758275,0.769961589,0
9,6.2,22.8,7.8,15,4.4,90.8,0.442062467,0.711409558,9.4,20.6,7.2,12.6,4.8,105.2,0.483682929,0.676198076,0
-2.5,7.2,18.2,5.6,16.2,5.4,93.6,0.4660092,0.749222104,6.8,24.2,7.6,16,4,88.2,0.402896727,0.776452991,1
2,9,22.2,7.6,14.4,5,104.6,0.47801379,0.696889228,8.2,19.4,6,14.4,5.2,99.4,0.431846243,0.763015132,0
-1.5,7.6,21,10.2,17,4.8,98.6,0.451534665,0.76372162,7.8,23.4,6.8,12.2,4.6,102.4,0.472383803,0.665953084,0
